X,Y,Z
-3771331.78652798,2614392.80814287,4414892.63670389
-3771930.89432498,2615664.88275154,4413635.63673292
-3773111.42791437,2625350.14536888,4406916.29031308
-3773999.09432922,2628442.74789914,4404329.41518155
-3775260.61933896,2631471.98340329,4401457.81719536
-3776810.24699124,2634138.60417037,4398551.91786818
-3778419.52851736,2634295.86755433,4397085.2721679
-3779433.75028633,2635601.33313399,4395442.09969888
-3780116.49488824,2637194.8165316,4393909.27248311
-3781083.10786613,2638779.49263831,4392137.76287449
-3781341.91885385,2640381.99894919,4390959.66002721
-3781912.55101191,2641100.09385038,4390042.43434999
-3782773.11904985,2641621.14082548,4388994.43030868
-3783377.89157513,2641803.6492096,4388367.47857756
-3789493.13191775,2642016.33042416,4382995.88986541
-3791106.58448791,2641749.09399683,4381769.78777539
-3797292.35687499,2639694.65372669,4377677.28062484
-3798745.3182261,2639456.42457266,4376567.68905176
-3800334.47596916,2639480.24349651,4375182.8014101
-3801942.39831859,2639836.6023444,4373581.34361033
-3803436.39491233,2640601.72480445,4371831.91442737
-3804095.53705393,2640739.05765204,4371179.81391647
-3805362.92288024,2640185.39841801,4370416.18916761
-3806622.1848703,2640538.50643296,4369114.80379482
-3808735.66079482,2640794.80819163,4367130.92144997
-3815248.38966862,2642711.43940829,4360327.18927526
-3818633.39885565,2642993.94780999,4357212.66013679
-3822338.48979364,2642203.26197896,4354461.17750165
-3826259.24995068,2640193.71632987,4352250.99665075
-3825033.54774928,2642492.8671053,4351935.17620897
-3819654.95707482,2644936.91359721,4355151.65711486
-3817988.24017952,2646656.07979006,4355565.89885088
-3818037.90803371,2647629.99787312,4354934.65964348
-3818655.24080692,2648274.95993477,4354007.38132047
-3819591.05016934,2648313.38182199,4353168.73583639
-3820603.58161506,2647456.85872835,4352803.63407211
-3821610.46139798,2646395.41216112,4352566.79701547
-3822793.63308186,2645536.09481712,4352053.61116669
-3823492.61427121,2645457.64644399,4351491.0196715
-3822993.54548108,2646750.67818322,4351145.53727714
-3824763.86269137,2646256.88677462,4349898.31029158
-3826802.03516554,2644758.58329579,4349022.76103756
-3828706.86282673,2642862.07042293,4348502.6250803
-3832991.81737669,2637452.5518099,4348015.35975185
-3834602.45951147,2636242.18221099,4347333.76690771
-3836736.73678766,2635230.43999173,4346072.40957579
-3836195.51276858,2634377.58068126,4347060.44499059
-3835318.91118065,2634625.43413104,4347679.51408981
-3834254.42717487,2635080.71962144,4348338.01378043
-3833184.55986252,2634810.40746865,4349437.51407516
-3833047.20534252,2634074.7190166,4350000.33794274
-3833266.74816244,2630507.95334333,4351951.62564379
-3833023.5005261,2626266.9708235,4354707.78835833
-3833156.18063759,2625118.0111478,4355279.87846664
-3834022.53182413,2623160.19886535,4355694.1094895
-3834286.95766484,2622070.05094062,4356114.88006674
-3834169.82225788,2621350.58765619,4356647.36665271
-3833877.7575796,2620815.30955488,4357222.519309
-3833694.00259629,2620154.41795018,4357777.88909674
-3833881.32115508,2619060.29203796,4358267.48290118
-3834400.01116869,2618009.01481972,4358441.62209342
-3836691.422045,2614942.01274868,4358267.48290118
-3836939.08635423,2614280.83072822,4358444.90767051
-3836905.95967606,2613005.63588568,4359233.38509291
-3837030.5427522,2612508.15969304,4359420.63001639
-3837400.12015203,2612097.7394949,4359341.79087449
-3837746.79866917,2611903.00637122,4359154.54296588
-3838038.10226249,2611806.14622415,4358957.43227072
