X,Y,Z
-3827907.58766982,2680312.48648815,4326376.46432108
-3825287.87176955,2685090.75501176,4325734.91797277
-3823617.40201372,2687308.22387769,4325834.13148938
-3821609.37515292,2688979.62245291,4326564.94441931
-3819195.56066583,2689950.35602739,4328082.44873607
-3818517.92760928,2689627.25488451,4328875.73335543
-3817868.55967836,2688910.25295696,4329886.99026648
-3817065.23821594,2688636.47817625,4330759.28411475
-3815910.60297184,2689680.56933478,4331125.99897207
-3815326.47575433,2690412.72010797,4331185.46373403
-3814960.30861178,2690787.37588708,4331274.65956009
-3814708.21006611,2691112.64579999,4331294.48058604
-3814469.80483186,2691723.50046508,4331125.99897207
-3814430.85940462,2692394.02766565,4330746.06870151
-3814737.41917546,2693682.09500214,4329682.11150444
-3814582.28586727,2694254.65205421,4329464.00555492
-3814505.26609633,2695069.26799777,4329027.7653405
-3814807.33193889,2696298.20864222,4328003.11345217
-3815332.9303464,2697498.66914334,4326799.70807852
-3815902.98356643,2698251.27575465,4325834.13148938
-3817059.51346665,2698483.57869313,4324676.51915606
-3818384.03088718,2698029.27531644,4323796.55640572
-3819719.869687,2697387.33446805,4323022.32729794
-3820920.90058932,2697015.64051757,4322198.33798303
-3819617.36308221,2700243.03997277,4321341.11443125
-3811338.48989674,2708664.21195708,4323366.4437773
-3807987.26010422,2714031.57307407,4322956.14837848
-3807427.82503742,2716226.95852209,4322075.8863471
-3805721.83811906,2718118.74566253,4322386.97388432
-3801005.85106171,2722192.67513245,4323961.97460238
-3800293.17589435,2722531.66039023,4324372.18843334
-3799364.19289522,2722780.83812818,4325027.13832051
-3798616.66301575,2722702.46647271,4325728.30368531
-3797745.14481637,2722437.08762061,4326654.22202322
-3796811.55939089,2722453.68279509,4327457.64925699
-3795937.47137601,2723116.98606253,4327804.7696215
-3794948.90009309,2724637.22834038,4327715.51244718
-3789897.26683445,2735058.20356873,4325582.78676391
-3786201.24179764,2746597.71538207,4321533.09215427
-3783760.67007514,2760541.30070463,4314826.11659062
-3784417.89705684,2770759.83157375,4307741.90383144
-3782917.43676534,2785050.43568116,4299890.04582208
-3783317.1558641,2791829.86720187,4295171.16160558
-3786060.31448749,2806849.1558291,4283029.89115876
-3789361.28957835,2819468.05995911,4271882.89888945
-3791025.1686218,2822479.95957262,4268439.51195902
-3793535.40412904,2825052.41960552,4264532.03686945
-3797500.07525926,2826814.41456024,4259864.68254607
-3798935.14832315,2827731.72578483,4257988.53889638
-3800064.72812126,2828773.84163635,4256299.43853749
-3801185.17699404,2830111.38563063,4254422.02599213
-3804663.42714897,2835549.52863904,4247731.67883184
-3805338.74941806,2837204.76980743,4246032.58318592
-3805108.72983028,2839809.21004197,4244507.63532887
-3807156.01822668,2842633.93221919,4240804.28977117
-3807413.41716468,2844005.47736047,4239661.17667067
-3806394.19119307,2844844.83852204,4240010.86076645
-3804446.54177948,2845764.92504767,4241133.72977901
-3802481.92202357,2846443.75357525,4242431.12187303
-3801406.54652799,2846574.03247187,4243301.4745594
-3799822.81897317,2846424.31927442,4244809.97252534
-3797491.12116842,2847044.51263949,4246469.16168728
-3795196.66223885,2847935.50252495,4247912.97306583
-3782855.24632958,2854756.88598143,4254294.60595
-3769618.70406166,2865689.33479567,4258662.0173127
-3753567.23774659,2875387.17302225,4266245.26107802
-3747996.50205176,2880101.27783915,4267951.23677762
-3733350.07969055,2887437.2043612,4275771.5312259
-3727704.77801277,2889193.76357887,4279483.7375036
-3722111.75450301,2890522.73045111,4283426.13943216
-3716156.75608412,2896848.9288754,4284316.85056446
-3709691.09371928,2900313.31023422,4287553.30577855
-3704046.92613744,2901635.23187669,4291510.13399578
-3702796.96249144,2902387.73342632,4292076.09892591
-3701472.27756419,2903556.79598278,4292425.63453537
-3696106.83419415,2906758.34400141,4294865.06623647
-3690444.45217948,2911810.33961581,4296302.22599668
-3685968.01820435,2917642.5066879,4296189.13070703
-3682400.61874314,2923915.54652801,4294991.49916053
-3678334.5352551,2933460.70710981,4291986.21458124
-3675487.20672195,2948576.23113118,4284113.6035202
-3674613.60930784,2950810.29254309,4283330.01875103
-3674435.09472834,2952727.77656517,4282169.4290968
-3674012.33063353,2953633.54118656,4281909.26133961
-3673446.58409003,2954458.80610259,4281825.8714438
-3673023.54293239,2955330.18063297,4281589.03696318
-3672699.1322455,2956229.47948505,4281248.7769
-3671134.90726857,2963125.06550831,4277844.95115269
-3671041.0775833,2964987.326394,4276643.06908709
-3671666.66915308,2971477.5628886,4271632.2433331
-3671502.71290917,2973019.53678348,4270706.38467163
-3671118.46389518,2973899.97465494,4270425.58645324
-3670576.09079291,2974781.962082,4270278.49571431
-3669871.47052876,2975549.75293642,4270348.69863586
-3668980.41991262,2976131.72008456,4270706.38467163
-3668323.77941563,2976298.87133879,4271150.95099645
-3667314.33462784,2976412.85952787,4271933.02850879
-3666513.11642219,2976332.74432683,4272671.54983968
-3666512.1508666,2975865.46134851,4272995.66431702
-3668914.08924006,2973633.59449795,4272491.10635284
-3669221.72387202,2972959.09025501,4272694.94023456
-3668734.30730189,2972279.32568138,4273580.35589727
-3667705.99543147,2972740.7576403,4274138.25764594
-3665886.92233655,2974200.84374164,4274679.39880404
-3664131.27350453,2974943.22590776,4275661.32643938
-3663259.60219507,2975142.08266021,4276265.75455029
-3662489.5117713,2975138.2959621,4276923.53305327
-3659590.00564741,2973922.00276214,4280227.86308229
-3642543.21397748,2977816.01579399,4291966.24002436
-3639207.38130502,2980111.20503779,4293194.52950472
-3637954.41654467,2981563.43046058,4293247.78208213
-3635013.20648334,2986107.35266097,4292585.41435357
-3630752.53639752,2990233.00603715,4293314.34698964
