sim_time	pts.pos_.x	pts.pos_.y	pts.pos_.z	pts.vel_.x	pts.vel_.y	pts.vel_.z	gts.f_thrust_.x	gts.f_thrust_.y	gts.f_thrust_.z
52.000000	-4130829.175004056655	2529464.497821921017	4397945.113808716647	-2199.325755312974	-2423.578805074479	377.516255010155	-100376.060708717298	-96888.491415393612	22173.278238660994
53.000000	-4133030.221555815078	2527034.614880658220	4398320.526396918111	-2202.770343931396	-2436.195855367227	373.307143780328	-100201.694831640416	-97121.498788290686	21941.340569410255
54.000000	-4135234.722102688625	2524592.088752144948	4398691.723825568333	-2206.233756053518	-2448.865243342345	369.085918594839	-100026.174046864384	-97354.151184730043	21709.936726004325
55.000000	-4137442.695486176293	2522136.866897324566	4399058.693948722444	-2209.716027873396	-2461.587372464441	364.852515235159	-99849.515998966279	-97586.435342089593	21479.045416320489
56.000000	-4139654.160585058853	2519668.896371887065	4399421.424554893747	-2213.217197767847	-2474.362649765791	360.606866889036	-99671.737726751933	-97818.338435036683	21248.646176597449
57.000000	-4141869.136317577213	2517188.123822668102	4399779.903364524245	-2216.737306276120	-2487.191485943396	356.348904184508	-99492.855688191412	-98049.848058876189	21018.719338723131
58.000000	-4144087.641643580049	2514694.495483926032	4400134.118027420714	-2220.276396081436	-2500.074295456456	352.078555221620	-99312.885784174519	-98280.952213629454	20789.245998876177
59.000000	-4146309.695566663519	2512187.957173544914	4400484.056120231748	-2223.834511994317	-2513.011496624317	347.795745601899	-99131.843381178289	-98511.639288749851	20560.207987585203
60.000000	-4148535.317136288155	2509668.454289109446	4400829.705143989064	-2227.411700937648	-2526.003511725009	343.500398455702	-98949.743332892263	-98741.898048461066	20331.587841142144
61.000000	-4150764.525449881330	2507135.931803905871	4401171.052521611564	-2231.008011933450	-2539.050767094386	339.192434467448	-98766.600000854873	-98971.717617726259	20103.368774117251
62.000000	-4152997.339654943440	2504590.334262814838	4401508.085595509969	-2234.623496091267	-2552.153693225986	334.871771898853	-98582.427274156129	-99201.087468761354	19875.534653208400
63.000000	-4155233.778951119632	2502031.605778100435	4401840.791625145823	-2238.258206598156	-2565.312724871650	330.538326610188	-98397.238588262626	-99429.997408109659	19648.069972081888
64.000000	-4157473.862592268270	2499459.690025100950	4402169.157784658484	-2241.912198710229	-2578.528301142986	326.192012079624	-98211.046942991175	-99658.437564242515	19420.959827350449
65.000000	-4159717.609888539650	2496874.530237817205	4402493.171160485595	-2245.585529745698	-2591.800865613765	321.832739420737	-98023.864919720902	-99886.398375627658	19194.189895530919
66.000000	-4161965.040208428167	2494276.069204404950	4402812.818749001250	-2249.278259079411	-2605.130866423257	317.460417398189	-97835.704697809109	-100113.870579315306	18967.746410978754
67.000000	-4164216.172980825417	2491664.249262552243	4403128.087454177439	-2252.990448138788	-2618.518756380653	313.074952441659	-97646.578070302683	-100340.845199965232	18741.616144742948
68.000000	-4166471.027697077021	2489039.012294753455	4403438.964085250162	-2256.722160401206	-2631.964993070577	308.676248658049	-97456.496459001777	-100567.313539280352	18515.786384290037
69.000000	-4168729.623913026880	2486400.299723491538	4403745.435354429297	-2260.473461392752	-2645.470038959820	304.264207842022	-97265.470928829483	-100793.267165898331	18290.244914075327
70.000000	-4170991.981251069345	2483748.052506290376	4404047.487874539569	-2264.244418688296	-2659.034361505286	299.838729484882	-97073.512201614358	-101018.697905664740	18064.979996863603
71.000000	-4173258.119402192999	2481082.211130675394	4404345.108156777918	-2268.035101912932	-2672.658433263310	295.399710781866	-96880.630669289836	-101243.597832266634	17839.980355901313
72.000000	-4175528.058128042147	2478402.715609025210	4404638.282608377747	-2271.845582744703	-2686.342732000342	290.947046637850	-96686.836406528775	-101467.959258260147	17615.235157704064
73.000000	-4177801.817262957338	2475709.505473291501	4404926.997530342080	-2275.675934918607	-2700.087740805105	286.480629671521	-96492.139182838946	-101691.774726440577	17390.733995622151
74.000000	-4180079.416716048494	2473002.519769629464	4405211.239115135744	-2279.526234231875	-2713.893948202303	282.000350218022	-96296.548474193114	-101915.037001516423	17166.466874023128
75.000000	-4182360.876473256852	2470281.697052905802	4405490.993444449268	-2283.396558550492	-2727.761848267928	277.506096330123	-96100.073474120130	-102137.739062151493	16942.424193147308
76.000000	-4184646.216599421576	2467546.975381084718	4405766.246486866847	-2287.286987816959	-2741.691940746250	272.997753777907	-95902.723104391611	-102359.874093284263	16718.596734456936
77.000000	-4186935.457240372896	2464798.292309494689	4406036.984095600434	-2291.197604059262	-2755.684731168582	268.475206047025	-95704.506025242241	-102581.435478737578	16494.975646722287
78.000000	-4189228.618625004310	2462035.584885000251	4406303.192006218247	-2295.128491401060	-2769.740730973847	263.938334335520	-95505.430645186440	-102802.416794121222	16271.552432550519
79.000000	-4191525.721067390870	2459258.789640017319	4406564.855834333226	-2299.079736073078	-2783.860457631080	259.387017549240	-95305.505130436562	-103022.811799999865	16048.318935455714
80.000000	-4193826.784968893044	2456467.842586419545	4406821.961073320359	-2303.051426425668	-2798.044434763895	254.821132295866	-95104.737413927127	-103242.614435330441	15825.267327462627
81.000000	-4196131.830820291303	2453662.679209328257	4407074.493092011660	-2307.043652942578	-2812.293192277024	250.240552877555	-94903.135204011021	-103461.818811120305	15602.390097165029
82.000000	-4198440.879203915596	2450843.234460772015	4407322.437132380903	-2311.056508255893	-2826.607266485001	245.645151282224	-94700.705992771938	-103680.419204353821	15379.680038284323
83.000000	-4200753.950795807876	2448009.442753198557	4407565.778307248838	-2315.090087162143	-2840.987200243044	241.034797173469	-94497.457064025089	-103898.410052138308	15157.130238618920
84.000000	-4203071.066367895342	2445161.237952869385	4407804.501597907394	-2319.144486639592	-2855.433543080278	236.409357879143	-94293.395501010891	-104115.785946057425	14934.734069432900
85.000000	-4205392.246790186502	2442298.553373136092	4408038.591851829551	-2323.219805866701	-2869.946851335314	231.768698378600	-94088.528193783233	-104332.541626729348	14712.485175335623
86.000000	-4207717.513032969087	2439421.321767538786	4408268.033780257218	-2327.316146241754	-2884.527688294321	227.112681288593	-93882.861846263928	-104548.671978631159	14490.377464369052
87.000000	-4210046.886169046164	2436529.475322796963	4408492.811955900863	-2331.433611403676	-2899.176624331655	222.441166847859	-93676.402983114735	-104764.172025003703	14268.405098696550
88.000000	-4212380.387375994585	2433622.945651661605	4408712.910810487345	-2335.572307254008	-2913.894237053128	217.754012900355	-93469.157956260038	-104979.036923051957	14046.562485398099
89.000000	-4214718.037938435562	2430701.663785591722	4408928.314632400870	-2339.732341980082	-2928.681111442047	213.051074877191	-93261.132951182852	-105193.261959268173	13824.844267859518
90.000000	-4217059.859250313602	2427765.560167316347	4409139.007564234547	-2343.913826079378	-2943.537840008051	208.332205777219	-93052.333993003223	-105406.842544933010	13603.245317286994
91.000000	-4219405.872817252763	2424814.564643223304	4409344.973600352183	-2348.116872385073	-2958.465022938913	203.597256146310	-92842.766952302671	-105619.774211783282	13381.760724670941
92.000000	-4221756.100258878432	2421848.606455617119	4409546.196584435180	-2352.341596092806	-2973.463268255349	198.846074055284	-92632.437550725110	-105832.052607848949	13160.385792996929
93.000000	-4224110.563311210833	2418867.614234790672	4409742.660206990317	-2356.588114788642	-2988.533191968979	194.078505076517	-92421.351366356190	-106043.673493452327	12939.116029722400
94.000000	-4226469.283829052001	2415871.515990962740	4409934.348002836108	-2360.856548478273	-3003.675418243498	189.294392259197	-92209.513838952262	-106254.632737298889	12717.947139605725
95.000000	-4228832.283788446337	2412860.239106046502	4410121.243348570541	-2365.147019617455	-3018.890579559205	184.493576103232	-91996.930274890547	-106464.926312793104	12496.875017718206
96.000000	-4231199.585289117880	2409833.710325247608	4410303.329460002482	-2369.459653143692	-3034.179316880984	179.675894531803	-91783.605852001681	-106674.550294420260	12275.895742780111
97.000000	-4233571.210556990467	2406791.855748488102	4410480.589389568195	-2373.794576509199	-3049.542279829823	174.841182862542	-91569.545624196704	-106883.500854283295	12055.005570740963
98.000000	-4235947.181946706958	2403734.600821671542	4410653.006023707800	-2378.151919715120	-3064.980126858035	169.989273777331	-91354.754525906377	-107091.774258785488	11834.200928526232
99.000000	-4238327.521944202483	2400661.870327758603	4410820.562080211937	-2382.531815347086	-3080.493525428258	165.119997290707	-91139.237376390665	-107299.366865394753	11613.478408098155
100.000000	-4240712.253169306554	2397573.588377661537	4410983.240105536766	-2386.934398612059	-3096.083152196377	160.233180716852	-90922.998883853157	-107506.275119559199	11392.834760693695
101.000000	-4243101.398378373124	2394469.678400968667	4411141.022472083569	-2391.359807376537	-3111.749693198489	155.328648635165	-90706.043649426734	-107712.495551716798	11172.266891266936
102.000000	-4245494.980466977693	2391350.063136454206	4411293.891375473700	-2395.808182206110	-3127.493844042030	150.406222854380	-90488.376171012133	-107918.024774407415	10951.771853165816
103.000000	-4247893.022472620010	2388214.664622426033	4411441.828831716441	-2400.279666406409	-3143.316310101221	145.465722375226	-90270.000846965733	-108122.859479506835	10731.346842946889
104.000000	-4250295.547577500343	2385063.404186842497	4411584.816674402915	-2404.774406065465	-3159.217806716934	140.506963351602	-90050.921979648134	-108326.996435553068	10510.989195457358
